mass_GeV,sigma_total_pb,sigma_total_error_pb,sigma_paper_cut_pb,sigma_paper_cut_error_pb
0.010,66278.8643211,158.771910683,0.0434403261403,0.000123309345356
0.032,8297.3880792,20.4422998014,0.0434677704857,0.000115636132618
0.100,897.429182261,2.19028873854,0.0433262483837,0.000113959284054
0.316,81.7127875051,0.199464787844,0.0404698584198,0.000121643517997
1.000,5.96174513547,0.00792132072675,0.0372381776547,0.0000499311694015
1.585,1.91963094779,0.00254335980209,0.0266494414841,0.0000389998258492
2.512,0.572758516962,0.000738550728348,0.0148840198141,0.0000234651648739
3.981,0.153075689490,0.000188356214405,0.00551894457374,0.00000879978229972
5.000,0.0751647561843,0.0000929750512276,0.00284361784232,0.00000472010589097
6.310,0.0342231915072,0.0000418509350371,0.00154163558850,0.00000254877607061
