mass_GeV,sigma_total_pb,sigma_total_error_pb,sigma_paper_cut_pb,sigma_paper_cut_error_pb
0.010,179390.300000,380.286310000,0.231102160000,0.000508368920
0.032,20826.968000,46.028289000,0.232147470000,0.000695242420
0.100,2148.587900,4.909674400,0.229009740000,0.000570772280
0.316,188.678090,0.436317930,0.219729680000,0.000550036950
1.000,13.586822,0.021850488,0.157511860000,0.000235043480
1.585,4.3369287,0.0067888436,0.113452780000,0.000172901850
2.512,1.2871333,0.0020064335,0.058887830000,0.000100881020
3.981,0.34112877,0.00050823227,0.018916282000,0.000033300164
5.000,0.16616116,0.00024762396,0.0091567837,0.000016368496
6.310,0.07530205,0.00011329968,0.0047491691,0.0000094179212
10.000,0.011783924,0.000013167094,0.0010695169,0.0000016781235
