class,mass_GeV,pt_low_GeV,pt_high_GeV,log10_t_low,log10_t_high,weighted_probability_percent
Photon proxy,1,1.1,1.27777777778,-6,-5.875,0
Photon proxy,1,1.1,1.27777777778,-5.875,-5.75,0
Photon proxy,1,1.1,1.27777777778,-5.75,-5.625,0
Photon proxy,1,1.1,1.27777777778,-5.625,-5.5,0
Photon proxy,1,1.1,1.27777777778,-5.5,-5.375,0
Photon proxy,1,1.1,1.27777777778,-5.375,-5.25,0
Photon proxy,1,1.1,1.27777777778,-5.25,-5.125,0
Photon proxy,1,1.1,1.27777777778,-5.125,-5,0
Photon proxy,1,1.1,1.27777777778,-5,-4.875,0
Photon proxy,1,1.1,1.27777777778,-4.875,-4.75,0
Photon proxy,1,1.1,1.27777777778,-4.75,-4.625,0
Photon proxy,1,1.1,1.27777777778,-4.625,-4.5,0
Photon proxy,1,1.1,1.27777777778,-4.5,-4.375,0
Photon proxy,1,1.1,1.27777777778,-4.375,-4.25,0
Photon proxy,1,1.1,1.27777777778,-4.25,-4.125,0
Photon proxy,1,1.1,1.27777777778,-4.125,-4,0
Photon proxy,1,1.1,1.27777777778,-4,-3.875,0
Photon proxy,1,1.1,1.27777777778,-3.875,-3.75,0
Photon proxy,1,1.1,1.27777777778,-3.75,-3.625,0
Photon proxy,1,1.1,1.27777777778,-3.625,-3.5,0
Photon proxy,1,1.1,1.27777777778,-3.5,-3.375,0
Photon proxy,1,1.1,1.27777777778,-3.375,-3.25,0
Photon proxy,1,1.1,1.27777777778,-3.25,-3.125,0
Photon proxy,1,1.1,1.27777777778,-3.125,-3,0
Photon proxy,1,1.1,1.27777777778,-3,-2.875,0
Photon proxy,1,1.1,1.27777777778,-2.875,-2.75,0
Photon proxy,1,1.1,1.27777777778,-2.75,-2.625,0
Photon proxy,1,1.1,1.27777777778,-2.625,-2.5,0
Photon proxy,1,1.1,1.27777777778,-2.5,-2.375,0
Photon proxy,1,1.1,1.27777777778,-2.375,-2.25,0
Photon proxy,1,1.1,1.27777777778,-2.25,-2.125,0
Photon proxy,1,1.1,1.27777777778,-2.125,-2,0
Photon proxy,1,1.1,1.27777777778,-2,-1.875,0
Photon proxy,1,1.1,1.27777777778,-1.875,-1.75,0
Photon proxy,1,1.1,1.27777777778,-1.75,-1.625,0
Photon proxy,1,1.1,1.27777777778,-1.625,-1.5,0
Photon proxy,1,1.27777777778,1.45555555556,-6,-5.875,0
Photon proxy,1,1.27777777778,1.45555555556,-5.875,-5.75,0.101450594713
Photon proxy,1,1.27777777778,1.45555555556,-5.75,-5.625,0.315075155177
Photon proxy,1,1.27777777778,1.45555555556,-5.625,-5.5,0.490630511518
Photon proxy,1,1.27777777778,1.45555555556,-5.5,-5.375,0.604166726323
Photon proxy,1,1.27777777778,1.45555555556,-5.375,-5.25,0.686623887964
Photon proxy,1,1.27777777778,1.45555555556,-5.25,-5.125,0.926220096597
Photon proxy,1,1.27777777778,1.45555555556,-5.125,-5,0.877780485528
Photon proxy,1,1.27777777778,1.45555555556,-5,-4.875,0.934109671179
Photon proxy,1,1.27777777778,1.45555555556,-4.875,-4.75,0.996384234801
Photon proxy,1,1.27777777778,1.45555555556,-4.75,-4.625,1.05022572944
