signal_type,mass_GeV,feature,replicate,tmva_seed,model_profile,importance,mean_importance,sample_sd,n
vector,10.0,Q^2,rep_001,9410031,depth4,0.19950000,0.20658000,0.00537107,10
vector,10.0,Q^2,rep_002,9420031,depth4,0.21180000,0.20658000,0.00537107,10
vector,10.0,Q^2,rep_003,9430031,depth3_800,0.20540000,0.20658000,0.00537107,10
vector,10.0,Q^2,rep_004,9440031,depth3,0.21600000,0.20658000,0.00537107,10
vector,10.0,Q^2,rep_005,9450031,depth3_800,0.20530000,0.20658000,0.00537107,10
vector,10.0,Q^2,rep_006,9460031,depth4,0.19890000,0.20658000,0.00537107,10
vector,10.0,Q^2,rep_007,9470031,depth3_800,0.20760000,0.20658000,0.00537107,10
vector,10.0,Q^2,rep_008,9480031,depth4,0.20700000,0.20658000,0.00537107,10
vector,10.0,Q^2,rep_009,9490031,depth3_800,0.20330000,0.20658000,0.00537107,10
vector,10.0,Q^2,rep_010,9500031,depth3_800,0.21100000,0.20658000,0.00537107,10
vector,10.0,"pT,e",rep_001,9410031,depth4,0.17780000,0.17676000,0.00556281,10
vector,10.0,"pT,e",rep_002,9420031,depth4,0.18600000,0.17676000,0.00556281,10
vector,10.0,"pT,e",rep_003,9430031,depth3_800,0.18300000,0.17676000,0.00556281,10
vector,10.0,"pT,e",rep_004,9440031,depth3,0.16830000,0.17676000,0.00556281,10
vector,10.0,"pT,e",rep_005,9450031,depth3_800,0.17820000,0.17676000,0.00556281,10
vector,10.0,"pT,e",rep_006,9460031,depth4,0.17470000,0.17676000,0.00556281,10
vector,10.0,"pT,e",rep_007,9470031,depth3_800,0.17240000,0.17676000,0.00556281,10
vector,10.0,"pT,e",rep_008,9480031,depth4,0.18020000,0.17676000,0.00556281,10
vector,10.0,"pT,e",rep_009,9490031,depth3_800,0.17010000,0.17676000,0.00556281,10
vector,10.0,"pT,e",rep_010,9500031,depth3_800,0.17690000,0.17676000,0.00556281,10
vector,10.0,eta_e,rep_001,9410031,depth4,0.15390000,0.16378000,0.00967549,10
vector,10.0,eta_e,rep_002,9420031,depth4,0.15230000,0.16378000,0.00967549,10
vector,10.0,eta_e,rep_003,9430031,depth3_800,0.17600000,0.16378000,0.00967549,10
vector,10.0,eta_e,rep_004,9440031,depth3,0.15780000,0.16378000,0.00967549,10
vector,10.0,eta_e,rep_005,9450031,depth3_800,0.17220000,0.16378000,0.00967549,10
vector,10.0,eta_e,rep_006,9460031,depth4,0.15950000,0.16378000,0.00967549,10
vector,10.0,eta_e,rep_007,9470031,depth3_800,0.17160000,0.16378000,0.00967549,10
vector,10.0,eta_e,rep_008,9480031,depth4,0.15230000,0.16378000,0.00967549,10
vector,10.0,eta_e,rep_009,9490031,depth3_800,0.17550000,0.16378000,0.00967549,10
vector,10.0,eta_e,rep_010,9500031,depth3_800,0.16670000,0.16378000,0.00967549,10
vector,10.0,E_e,rep_001,9410031,depth4,0.17410000,0.17430000,0.00783837,10
vector,10.0,E_e,rep_002,9420031,depth4,0.15450000,0.17430000,0.00783837,10
vector,10.0,E_e,rep_003,9430031,depth3_800,0.17690000,0.17430000,0.00783837,10
vector,10.0,E_e,rep_004,9440031,depth3,0.17500000,0.17430000,0.00783837,10
vector,10.0,E_e,rep_005,9450031,depth3_800,0.17650000,0.17430000,0.00783837,10
vector,10.0,E_e,rep_006,9460031,depth4,0.17290000,0.17430000,0.00783837,10
vector,10.0,E_e,rep_007,9470031,depth3_800,0.17990000,0.17430000,0.00783837,10
vector,10.0,E_e,rep_008,9480031,depth4,0.17080000,0.17430000,0.00783837,10
vector,10.0,E_e,rep_009,9490031,depth3_800,0.17920000,0.17430000,0.00783837,10
vector,10.0,E_e,rep_010,9500031,depth3_800,0.18320000,0.17430000,0.00783837,10
vector,10.0,t,rep_001,9410031,depth4,0.29480000,0.27863000,0.01432682,10
vector,10.0,t,rep_002,9420031,depth4,0.29550000,0.27863000,0.01432682,10
vector,10.0,t,rep_003,9430031,depth3_800,0.25870000,0.27863000,0.01432682,10
vector,10.0,t,rep_004,9440031,depth3,0.28300000,0.27863000,0.01432682,10
vector,10.0,t,rep_005,9450031,depth3_800,0.26790000,0.27863000,0.01432682,10
vector,10.0,t,rep_006,9460031,depth4,0.29400000,0.27863000,0.01432682,10
vector,10.0,t,rep_007,9470031,depth3_800,0.26850000,0.27863000,0.01432682,10
vector,10.0,t,rep_008,9480031,depth4,0.28960000,0.27863000,0.01432682,10
vector,10.0,t,rep_009,9490031,depth3_800,0.27200000,0.27863000,0.01432682,10
vector,10.0,t,rep_010,9500031,depth3_800,0.26230000,0.27863000,0.01432682,10
scalar,10.0,Q^2,rep_001,9410131,depth3_800,0.21820000,0.21100000,0.01317101,10
scalar,10.0,Q^2,rep_002,9420131,depth3,0.20780000,0.21100000,0.01317101,10
scalar,10.0,Q^2,rep_003,9430131,depth4,0.21100000,0.21100000,0.01317101,10
scalar,10.0,Q^2,rep_004,9440131,depth3,0.21530000,0.21100000,0.01317101,10
scalar,10.0,Q^2,rep_005,9450131,depth3,0.20300000,0.21100000,0.01317101,10
scalar,10.0,Q^2,rep_006,9460131,depth4,0.21060000,0.21100000,0.01317101,10
scalar,10.0,Q^2,rep_007,9470131,depth2,0.18910000,0.21100000,0.01317101,10
scalar,10.0,Q^2,rep_008,9480131,depth4,0.21070000,0.21100000,0.01317101,10
scalar,10.0,Q^2,rep_009,9490131,depth4,0.20360000,0.21100000,0.01317101,10
scalar,10.0,Q^2,rep_010,9500131,depth3,0.24070000,0.21100000,0.01317101,10
scalar,10.0,"pT,e",rep_001,9410131,depth3_800,0.16850000,0.17099000,0.00835762,10
scalar,10.0,"pT,e",rep_002,9420131,depth3,0.17720000,0.17099000,0.00835762,10
scalar,10.0,"pT,e",rep_003,9430131,depth4,0.17860000,0.17099000,0.00835762,10
scalar,10.0,"pT,e",rep_004,9440131,depth3,0.16750000,0.17099000,0.00835762,10
scalar,10.0,"pT,e",rep_005,9450131,depth3,0.18190000,0.17099000,0.00835762,10
scalar,10.0,"pT,e",rep_006,9460131,depth4,0.16520000,0.17099000,0.00835762,10
scalar,10.0,"pT,e",rep_007,9470131,depth2,0.16780000,0.17099000,0.00835762,10
scalar,10.0,"pT,e",rep_008,9480131,depth4,0.17610000,0.17099000,0.00835762,10
scalar,10.0,"pT,e",rep_009,9490131,depth4,0.17390000,0.17099000,0.00835762,10
scalar,10.0,"pT,e",rep_010,9500131,depth3,0.15320000,0.17099000,0.00835762,10
scalar,10.0,eta_e,rep_001,9410131,depth3_800,0.17940000,0.16238000,0.00891326,10
scalar,10.0,eta_e,rep_002,9420131,depth3,0.15560000,0.16238000,0.00891326,10
scalar,10.0,eta_e,rep_003,9430131,depth4,0.15960000,0.16238000,0.00891326,10
scalar,10.0,eta_e,rep_004,9440131,depth3,0.17430000,0.16238000,0.00891326,10
scalar,10.0,eta_e,rep_005,9450131,depth3,0.15890000,0.16238000,0.00891326,10
scalar,10.0,eta_e,rep_006,9460131,depth4,0.15990000,0.16238000,0.00891326,10
scalar,10.0,eta_e,rep_007,9470131,depth2,0.15660000,0.16238000,0.00891326,10
scalar,10.0,eta_e,rep_008,9480131,depth4,0.15990000,0.16238000,0.00891326,10
scalar,10.0,eta_e,rep_009,9490131,depth4,0.16870000,0.16238000,0.00891326,10
scalar,10.0,eta_e,rep_010,9500131,depth3,0.15090000,0.16238000,0.00891326,10
scalar,10.0,E_e,rep_001,9410131,depth3_800,0.16820000,0.16366000,0.00544349,10
scalar,10.0,E_e,rep_002,9420131,depth3,0.15710000,0.16366000,0.00544349,10
scalar,10.0,E_e,rep_003,9430131,depth4,0.15900000,0.16366000,0.00544349,10
scalar,10.0,E_e,rep_004,9440131,depth3,0.15720000,0.16366000,0.00544349,10
scalar,10.0,E_e,rep_005,9450131,depth3,0.17150000,0.16366000,0.00544349,10
scalar,10.0,E_e,rep_006,9460131,depth4,0.16960000,0.16366000,0.00544349,10
scalar,10.0,E_e,rep_007,9470131,depth2,0.16250000,0.16366000,0.00544349,10
scalar,10.0,E_e,rep_008,9480131,depth4,0.16840000,0.16366000,0.00544349,10
scalar,10.0,E_e,rep_009,9490131,depth4,0.15930000,0.16366000,0.00544349,10
scalar,10.0,E_e,rep_010,9500131,depth3,0.16380000,0.16366000,0.00544349,10
scalar,10.0,t,rep_001,9410131,depth3_800,0.26570000,0.29195000,0.01481930,10
scalar,10.0,t,rep_002,9420131,depth3,0.30220000,0.29195000,0.01481930,10
scalar,10.0,t,rep_003,9430131,depth4,0.29180000,0.29195000,0.01481930,10
scalar,10.0,t,rep_004,9440131,depth3,0.28570000,0.29195000,0.01481930,10
scalar,10.0,t,rep_005,9450131,depth3,0.28470000,0.29195000,0.01481930,10
scalar,10.0,t,rep_006,9460131,depth4,0.29460000,0.29195000,0.01481930,10
scalar,10.0,t,rep_007,9470131,depth2,0.32400000,0.29195000,0.01481930,10
scalar,10.0,t,rep_008,9480131,depth4,0.28490000,0.29195000,0.01481930,10
scalar,10.0,t,rep_009,9490131,depth4,0.29450000,0.29195000,0.01481930,10
