mass_GeV,Qe2_min_GeV2,electron_pt_min_GeV,electron_eta_min,electron_eta_max,electron_E_max_GeV,photon_effective_pb_at_epsilon_1e-6,DIS_effective_pb_at_epsilon_1e-6_ZDC95
0.010,0.1995262315,1.1,-3.5,-1.5,10.0,0.58,0.0310
0.032,0.1995262315,1.1,-3.5,-1.5,10.0,0.58,0.0310
0.100,0.1995262315,1.1,-3.5,-1.5,10.0,0.58,0.0310
0.316,0.1995262315,1.1,-3.5,-1.5,10.0,0.58,0.0310
1.000,1.5848931925,1.3,-3.5,2.0,10.0,0.53,0.0520
1.585,3.1622776602,1.3,-3.0,2.0,10.0,0.53,0.0520
2.512,6.3095734448,1.3,-2.5,2.5,10.0,0.41,0.0520
3.981,15.8489319246,1.3,-2.5,1.0,10.0,0.19,0.0330
5.000,25.1188643151,1.3,-3.0,1.0,10.0,0.11,0.0204
6.310,31.6227766017,1.3,-2.0,3.5,10.0,0.081,0.0155
10.000,31.6227766017,1.3,-1.5,3.0,10.0,0.081,0.0155

