mass_GeV,vector_total_pb,scalar_total_pb,vector_after_cuts_pb,scalar_after_cuts_pb
0.010,29515.043,11660.439,0.77627298,0.14514247
0.032,11963.497,4651.395,0.71398698,0.13256573
0.100,1964.9114,717.80387,0.68966731,0.12732697
0.316,179.40521,70.547309,0.65516867,0.12031461
1.000,13.533301,6.1048209,0.46235790,0.11047668
1.585,4.3457103,2.0389503,0.33387892,0.079010448
2.512,1.2601846,0.6005951,0.17369903,0.044201946
3.981,0.32079151,0.14699203,0.058265629,0.017369903
5.000,0.15263246,0.070971727,0.027474455,
6.310,0.067219668,0.040318027,0.013238915,
10.000,0.010,,,
