mass_GeV,paper_photon_eff_pb,our_photon_eff_pb,our_photon_stat_unc_pb,photon_difference_pct,photon_within_10pct,paper_DIS_eff_pb_ZDC95_A_scaled,our_DIS_eff_pb_ZDC95_A_scaled,our_DIS_stat_unc_pb,DIS_difference_pct,DIS_within_10pct,status
0.010,0.58,,,,,0.0310,,,,,Pending independent photon and DIS calculations
0.032,0.58,,,,,0.0310,,,,,Pending independent photon and DIS calculations
0.100,0.58,,,,,0.0310,,,,,Pending independent photon and DIS calculations
0.316,0.58,,,,,0.0310,,,,,Pending independent photon and DIS calculations
1.000,0.53,,,,,0.0520,,,,,Pending independent photon and DIS calculations
1.585,0.53,,,,,0.0520,,,,,Pending independent photon and DIS calculations
2.512,0.41,,,,,0.0520,,,,,Pending independent photon and DIS calculations
3.981,0.19,,,,,0.0330,,,,,Pending independent photon and DIS calculations
5.000,0.11,,,,,0.0204,,,,,Pending independent photon and DIS calculations
6.310,0.081,,,,,0.0155,,,,,Pending independent photon and DIS calculations
10.000,0.081,,,,,0.0155,,,,,Pending independent photon and DIS calculations
