mass_GeV,paper_photon_eff_pb,our_photon_eff_pb,our_photon_MC_unc_pb,photon_diff_pct,photon_ratio_ours_to_paper,photon_within_10pct,paper_DIS_eff_pb,our_DIS_eff_pb,our_DIS_MC_unc_pb,DIS_diff_pct,DIS_ratio_ours_to_paper,DIS_within_10pct,status,photon_method,DIS_method
0.010,0.58,2.2706536,0.08922321973,291.49,3.9149,No,0.031,0.03233240105,0.0006564928815,4.30,1.0430,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
0.032,0.58,2.2706536,0.08922321973,291.49,3.9149,No,0.031,0.03233240105,0.0006564928815,4.30,1.0430,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
0.100,0.58,2.2706536,0.08922321973,291.49,3.9149,No,0.031,0.03233240105,0.0006564928815,4.30,1.0430,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
0.316,0.58,2.2706536,0.08922321973,291.49,3.9149,No,0.031,0.03233240105,0.0006564928815,4.30,1.0430,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
1.000,0.53,1.937588767,0.01136341981,265.58,3.6558,No,0.052,0.0545405149,0.0008465170237,4.89,1.0489,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
1.585,0.53,1.927752567,0.01074431846,263.73,3.6373,No,0.052,0.0545405149,0.0008465170237,4.89,1.0489,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
2.512,0.41,1.496941133,0.007958021346,265.11,3.6511,No,0.052,0.05449969116,0.000846211464,4.81,1.0481,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
3.981,0.19,0.6954849667,0.005597522085,266.04,3.6604,No,0.033,0.03489068868,0.0006814076047,5.73,1.0573,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
5.000,0.11,0.4251696167,0.003770719884,286.52,3.8652,No,0.0204,0.02133720743,0.0005351990752,4.59,1.0459,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
6.310,0.081,0.3239647967,0.004833377613,299.96,3.9996,No,0.0155,0.01646557461,0.0004708817915,6.23,1.0623,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
10.000,0.081,0.33266971,0.006384618545,310.70,4.1070,No,0.0155,0.01637031922,0.0004695320473,5.61,1.0561,Yes,Photon differs; DIS agrees,Coherent eAu->eAu gamma; Helm form factor; m_gamma=1e-6 GeV regulator; detector-miss-weighted TFoam; 3 seeds,"MG5_aMC@NLO 3.7.0 LO ep->ej; CT10nlo; scaled by A=197, 5% veto survival, and 1e-6 jet-miss probability"
