signal_type,mass_GeV,auc,validation_threshold,signal_efficiency,photon_background_efficiency,significance_improvement,signal_efficiency_photon_only,photon_efficiency_photon_only,significance_improvement_photon_only,signal_efficiency_mc_error,photon_efficiency_mc_error,significance_improvement_mc_error,signal_xs_pb,photon_xs_pb,dis_xs_pb,ml_signal_xs_pb,ml_photon_xs_pb,ml_total_background_xs_pb,coupling_reach_improvement
scalar,0.01,0.603411044639,-0.274281378435,0.920396983334,0.84290536064,0.997796790206,0.905402826761,0.790467953253,1.01835620095,0.00348266223512,0.00463623379227,0.00457312273517,0.0434403261403,0.58,0.031,0.0399823451346,0.488885109171,0.519885109171,-0.00110342854544
scalar,0.032,0.603375042115,-0.305300868113,0.937181746717,0.875304139247,0.998114699576,0.939825532712,0.870070309982,1.00755802156,0.00319419133867,0.00409686485739,0.00405202962196,0.0434677704857,0.58,0.031,0.0407372010697,0.507676400763,0.538676400763,-0.00094398519391
scalar,0.1,0.610056976212,-0.40151431942,0.966664683081,0.917825945231,1.00672656633,0.941437333158,0.878563870149,1.00439547332,0.00228296223689,0.00343385261417,0.0029698195293,0.0433262483837,0.58,0.031,0.0418819541629,0.532339048234,0.563339048234,0.00334641020967
scalar,0.316,0.605231234782,-0.410422943474,0.975879030441,0.955613643796,0.997111409952,0.888754611912,0.785991044698,1.00247388642,0.001980695291,0.00259948247732,0.00239693026845,0.0404698584198,0.58,0.031,0.0394936861968,0.554255913401,0.585255913401,-0.00144743155719
scalar,1,0.667322248471,-0.248353416771,0.865061644443,0.661473972232,1.04011605695,0.868980246034,0.649856389286,1.07795642999,0.00448686443366,0.00606570507303,0.00680816252063,0.0372381776547,0.53,0.052,0.032213319198,0.350581205283,0.402581205283,0.0194740328074
scalar,1.585,0.720276607766,-0.260156523702,0.876592423396,0.582507959871,1.11344442305,0.800732301062,0.479969473293,1.1557942772,0.00434220704919,0.00613078869728,0.00745439345086,0.0266494414841,0.53,0.052,0.0233606984927,0.308729218731,0.360729218731,0.052311244165
scalar,2.512,0.737649041606,-0.234912908774,0.86408209065,0.552043391391,1.11324282301,0.690925113001,0.330925882829,1.20106250744,0.00462959097816,0.00622823764298,0.00785199244053,0.0148840198141,0.41,0.052,0.0128610149582,0.22633779047,0.27833779047,0.0522254383354
scalar,3.981,0.72418444966,-0.25882849985,0.884782357018,0.599787618761,1.08990798568,0.685621083041,0.351009510798,1.15724342444,0.00450246404476,0.00623421260137,0.00707490085768,0.00551894457374,0.19,0.033,0.00488306478821,0.113959647565,0.146959647565,0.0421332839016
scalar,5,0.718921574427,-0.348733919656,0.936130828764,0.7073673993,1.07868980146,0.838621210586,0.550824183078,1.12995030304,0.00338174940497,0.00574524545739,0.0052182340858,0.00284361784232,0.11,0.0204,0.00266199832742,0.0778104139229,0.0982104139229,0.0371653442241
scalar,6.31,0.748671967026,-0.281947304525,0.938170932951,0.646414536133,1.11876804802,0.72461677607,0.372178241905,1.18777148372,0.0034276853118,0.00616738268944,0.00580220290678,0.0015416355885,0.081,0.0155,0.00144631769833,0.0523595774268,0.0678595774268,0.0545687074691
