signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
scalar,0.01,inclusive,18899,5574.43906102,2600.50972258,11949.3384605,67109.9064634,1,1,389.507198916
scalar,0.01,Qe2,264,4.14138174399,0.377880777722,45.3874442961,49.857526188,0.000742923493944,0.000742923493944,389.507198916
scalar,0.01,Qe2+pt,18,0.000496636081737,2.44620600986e-07,1.00828547019,0.00597893359797,8.90916693681e-08,0.000119920382239,389.507198916
scalar,0.01,Qe2+pt+eta,11,3.35985062894e-21,1.12885962488e-41,1,4.04487804013e-20,6.02724434184e-25,6.76521652876e-18,389.507198916
scalar,0.01,all_Table_I_cuts,2,2.86688353024e-99,8.21902117597e-198,1,3.45140171863e-98,5.14290944589e-103,8.53277078911e-79,389.507198916
scalar,0.032,inclusive,19812,5227.47049104,2236.00694652,12221.0925047,8313.91586905,1,1,46.9023837179
scalar,0.032,Qe2,922,43.142725624,22.6882409825,82.0378616264,68.6154023851,0.00825307874964,0.00825307874964,46.9023837179
scalar,0.032,Qe2+pt,30,0.0287953440555,0.000184356222051,4.49766126714,0.0457969238292,5.50846611278e-06,0.0006674437843,46.9023837179
scalar,0.032,Qe2+pt+eta,16,0.00592425665477,1.31731904622e-05,2.66426094819,0.00942210415129,1.13329317974e-06,0.205736616425,46.9023837179
scalar,0.032,all_Table_I_cuts,4,0.00509901253607,1.29430202899e-05,2.00879920302,0.00810961273005,9.75426364397e-07,0.860700815851,46.9023837179
scalar,0.1,inclusive,19932,4986.66457692,2069.54474026,12015.6008802,898.739874296,1,1,5.18044878599
scalar,0.1,Qe2,3111,332.902120013,89.3085430688,1240.90952221,59.998502983,0.0667584745029,0.0667584745029,5.18044878599
scalar,0.1,Qe2+pt,86,0.414859168669,0.00899807412408,19.1272184976,0.0747695120353,8.31937184203e-05,0.00124618962671,5.18044878599
scalar,0.1,Qe2+pt+eta,30,0.217931771556,0.00428681143691,11.0791570267,0.039277551147,4.37029136799e-05,0.525315065965,5.18044878599
scalar,0.1,all_Table_I_cuts,25,0.201628133259,0.00416946757355,9.75038260991,0.0363391682647,4.04334661274e-05,0.92518925451,5.18044878599
scalar,0.316,inclusive,19963,5076.84888685,2173.22329284,11859.9845238,81.1804617329,1,1,0.475561921831
scalar,0.316,Qe2,8462,1846.42226716,739.761753124,4608.61240025,29.5248914323,0.363694549182,0.363694549182,0.475561921831
scalar,0.316,Qe2+pt,141,4.1863262779,0.502328203128,34.8882017691,0.066940716137,0.000824591468292,0.00226726375236,0.475561921831
scalar,0.316,Qe2+pt+eta,58,2.21425193725,0.280471622592,17.4809543878,0.0354066072607,0.000436146906595,0.528924835347,0.475561921831
scalar,0.316,all_Table_I_cuts,44,2.04298951379,0.272134378232,15.3372983618,0.0326680655149,0.000402412905982,0.922654499888,0.475561921831
scalar,1,inclusive,19985,5398.3463669,2344.99936055,12427.3566924,5.95269001167,1,1,0.0328573578606
scalar,1,Qe2,8101,1879.04809494,728.156469639,4848.98767,2.07200317764,0.348078460928,0.348078460928,0.0328573578606
scalar,1,Qe2+pt,560,36.6642339271,5.85917521318,229.429228611,0.0404291989157,0.00679175277672,0.0195121317148,0.0328573578606
scalar,1,Qe2+pt+eta,559,36.6642106073,5.85917521264,229.428936782,0.0404291732012,0.00679174845691,0.999999363963,0.0328573578606
scalar,1,all_Table_I_cuts,467,34.9143898702,5.73243288463,212.652227168,0.0384996674386,0.00646760831878,0.952274419439,0.0328573578606
scalar,1.585,inclusive,19941,5495.70517171,2404.4720397,12561.0840283,1.93236656615,1,1,0.010515157521
scalar,1.585,Qe2,8367,2044.40198769,824.990194232,5066.21717021,0.718840244401,0.371999938828,0.371999938828,0.010515157521
scalar,1.585,Qe2+pt,718,80.8058685972,20.0395634243,325.834862841,0.0284124700921,0.0147034577133,0.0395254304602,0.010515157521
